university,year,university_profile,domestic_enrolment,international_enrolment,graduate_share,professional_program_share,avg_domestic_tuition,avg_international_tuition,operating_grant,special_purpose_grants,inflation_rate,provincial_budget_growth,tuition_policy,international_policy_pressure,total_enrolment,international_share,domestic_share,domestic_tuition_revenue,international_tuition_revenue,total_tuition_revenue,total_grants,funding_per_student,grant_dependency_ratio,international_tuition_dependency_ratio,total_enrolment_yoy_growth,tuition_revenue_yoy_growth,operating_grant_yoy_growth,high_international_exposure_flag,high_grant_dependency_flag
University of Toronto,2025,large_research,56321.0,8693,0.198,0.066,8670.0,41425.23,646674331,19412517,0.041,0.005,tuition_freeze,1,65014.0,0.1337,0.8663,488303070.0,360109524.39,848412594.39,666086848,9946.69,0.4325,0.4245,0.2237,0.1365,-0.1965,0,0
University of Toronto,2026,large_research,43776.0,13499,0.234,0.044,8821.0,46302.88,892036415,93313425,0.058,0.011,tuition_freeze,1,57275.0,0.2357,0.7643,386148096.0,625042577.12,1011190673.12,985349840,15574.62,0.4687,0.6181,-0.119,0.1919,0.3794,0,0
University of Waterloo,2016,large_research,34873.0,12675,0.138,0.067,9636.36,39000.26,750775290,82461200,0.061,0.012,market_growth,0,47548.0,0.2666,0.7334,336048782.28,494328295.5,830377077.78,833236490,15789.84,0.4748,0.5953,,,,0,0
University of Waterloo,2017,large_research,35079.0,13092,0.198,0.078,8368.44,56307.62,776314470,48251416,0.041,0.007,market_growth,0,48171.0,0.2718,0.7282,293556506.76,737179361.04,1030735867.8,824565886,16115.81,0.4296,0.7152,0.0131,0.2413,0.034,0,0
University of Waterloo,2018,large_research,34852.0,14984,0.176,0.116,8150.69,58980.08,750322232,51314574,0.045,-0.005,market_growth,0,49836.0,0.3007,0.6993,284067847.88,883757518.72,1167825366.6,801636806,15055.83,0.3912,0.7568,0.0346,0.133,-0.0335,1,0
University of Waterloo,2019,large_research,36340.0,13834,0.135,0.178,8987.0,63531.35,816948971,88824147,0.034,0.043,tuition_freeze,0,50174.0,0.2757,0.7243,326587580.0,878892695.9,1205480275.9,905773118,16282.32,0.4039,0.7291,0.0068,0.0322,0.0888,0,0
University of Waterloo,2020,large_research,34292.0,16581,0.121,0.154,8373.0,34517.43,754160732,47829886,0.026,0.024,tuition_freeze,0,50873.0,0.3259,0.6741,287126916.0,572333506.83,859460422.83,801990618,14824.38,0.4674,0.6659,0.0139,-0.287,-0.0769,1,0
University of Waterloo,2021,large_research,39756.0,18818,0.274,0.05,8717.0,53529.44,878201476,34107526,0.03,0.031,tuition_freeze,0,58574.0,0.3213,0.6787,346553052.0,1007317001.92,1353870053.92,912309002,14993.03,0.3934,0.744,0.1514,0.5753,0.1645,1,0
University of Waterloo,2022,large_research,37238.0,15368,0.293,0.127,9106.0,53538.81,716616829,37965728,0.019,0.043,tuition_freeze,0,52606.0,0.2921,0.7079,339089228.0,822784432.08,1161873660.08,754582557,13622.34,0.3815,0.7082,-0.1019,-0.1418,-0.184,0,0
University of Waterloo,2023,large_research,34720.0,16408,0.182,0.086,7701.0,47099.62,719426941,24005446,0.037,-0.001,tuition_freeze,0,51128.0,0.3209,0.6791,267378720.0,772810564.96,1040189284.96,743432387,14071.09,0.4089,0.743,-0.0281,-0.1047,0.0039,1,0
University of Waterloo,2024,large_research,41708.0,14265,0.214,0.057,8473.0,33578.63,739911269,23255348,0.016,-0.005,tuition_freeze,1,55973.0,0.2549,0.7451,353391884.0,478999156.95,832391040.95,763166617,13219.07,0.4706,0.5754,0.0948,-0.1998,0.0285,0,0
University of Waterloo,2025,large_research,43748.0,13710,0.274,0.109,8860.0,37410.83,831232461,50494156,0.041,0.005,tuition_freeze,1,57458.0,0.2386,0.7614,387607280.0,512902479.3,900509759.3,881726617,14466.78,0.48,0.5696,0.0265,0.0818,0.1234,0,0
University of Waterloo,2026,large_research,23389.0,18158,0.142,0.044,8436.0,43704.75,881799156,74398966,0.058,0.011,tuition_freeze,1,41547.0,0.437,0.563,197309604.0,793590850.5,990900454.5,956198122,21224.14,0.4709,0.8009,-0.2769,0.1004,0.0608,1,0
Western University,2016,large_research,40688.0,15958,0.317,0.096,7878.93,37105.39,608803950,19962202,0.061,0.012,market_growth,0,56646.0,0.2817,0.7183,320577903.84,592127813.62,912705717.46,628766152,10747.52,0.4001,0.6488,,,,0,0
Western University,2017,large_research,41388.0,17023,0.15,0.111,8275.71,42534.67,591500518,30661464,0.041,0.007,market_growth,0,58411.0,0.2914,0.7086,342515085.48,724067687.41,1066582772.89,622161982,10126.53,0.3567,0.6789,0.0312,0.1686,-0.0284,0,0
Western University,2018,large_research,42515.0,18006,0.185,0.071,8925.13,37171.16,604172874,41164802,0.045,-0.005,market_growth,0,60521.0,0.2975,0.7025,379451901.95,669303906.96,1048755808.91,645337676,9982.86,0.3655,0.6382,0.0361,-0.0167,0.0214,0,0
Western University,2019,large_research,43685.0,19506,0.19,0.053,9426.0,49891.89,628663869,65712448,0.034,0.043,tuition_freeze,0,63191.0,0.3087,0.6913,411774810.0,973191206.34,1384966016.34,694376317,9948.63,0.3122,0.7027,0.0441,0.3206,0.0405,1,0
Western University,2020,large_research,41576.0,20892,0.224,0.157,8446.0,38038.59,590971427,31032664,0.026,0.024,tuition_freeze,0,62468.0,0.3344,0.6656,351150896.0,794702222.28,1145853118.28,622004091,9460.39,0.3403,0.6935,-0.0114,-0.1726,-0.06,1,0
Western University,2021,large_research,46950.0,23440,0.162,0.116,8112.0,60329.88,593057554,63439222,0.03,0.031,tuition_freeze,0,70390.0,0.333,0.667,380858400.0,1414132387.2,1794990787.2,656496776,8425.31,0.2483,0.7878,0.1268,0.5665,0.0035,1,0
Western University,2022,large_research,38191.0,24579,0.155,0.178,9004.0,44452.86,635568200,64547285,0.019,0.043,tuition_freeze,0,62770.0,0.3916,0.6084,343871764.0,1092606845.94,1436478609.94,700115485,10125.35,0.3067,0.7606,-0.1083,-0.1997,0.0717,1,0
Western University,2023,large_research,34624.0,22418,0.319,0.175,7920.0,44476.75,665395633,68217090,0.037,-0.001,tuition_freeze,0,57042.0,0.393,0.607,274222080.0,997079781.5,1271301861.5,733612723,11665.01,0.3436,0.7843,-0.0913,-0.115,0.0469,1,0
Western University,2024,large_research,49966.0,16171,0.176,0.138,8077.0,34145.84,774506413,58634407,0.016,-0.005,tuition_freeze,1,66137.0,0.2445,0.7555,403575382.0,552172378.64,955747760.64,833140820,11710.64,0.4476,0.5777,0.1594,-0.2482,0.164,0,0
Western University,2025,large_research,44482.0,14446,0.298,0.159,9445.0,60142.96,739240753,73302692,0.041,0.005,tuition_freeze,1,58928.0,0.2451,0.7549,420132490.0,868825200.16,1288957690.16,812543445,12544.81,0.3645,0.6741,-0.109,0.3486,-0.0455,0,0
Western University,2026,large_research,51262.0,28025,0.308,0.176,7941.0,61058.59,975775232,86563746,0.058,0.011,tuition_freeze,1,79287.0,0.3535,0.6465,407071542.0,1711166984.75,2118238526.75,1062338978,12306.88,0.3154,0.8078,0.3455,0.6434,0.32,1,0
York University,2016,large_comprehensive,28863.0,12455,0.171,0.081,8857.94,31838.9,1016134800,39901081,0.061,0.012,market_growth,0,41318.0,0.3014,0.6986,255666722.22,396553499.5,652220221.72,1056035881,24593.03,0.6091,0.608,,,,1,1
York University,2017,large_comprehensive,29552.0,12791,0.147,0.139,8873.82,54222.42,1024282624,53946339,0.041,0.007,market_growth,0,42343.0,0.3021,0.6979,262239128.64,693558974.22,955798102.86,1078228963,24190.13,0.5173,0.7256,0.0248,0.4655,0.008,1,1
York University,2018,large_comprehensive,27469.0,14092,0.204,0.076,8618.61,48336.17,1047703642,32975652,0.045,-0.005,market_growth,0,41561.0,0.3391,0.6609,236744598.09,681153307.64,917897905.73,1080679294,25208.82,0.533,0.7421,-0.0185,-0.0397,0.0229,1,1
York University,2019,large_comprehensive,28415.0,14534,0.121,0.128,7735.0,35762.75,1121243470,68813062,0.034,0.043,tuition_freeze,0,42949.0,0.3384,0.6616,219790025.0,519775808.5,739565833.5,1190056532,26106.39,0.6026,0.7028,0.0334,-0.1943,0.0702,1,1
York University,2020,large_comprehensive,28631.0,14564,0.297,0.044,7001.0,52399.61,1016351006,91772335,0.026,0.024,tuition_freeze,0,43195.0,0.3372,0.6628,200445631.0,763147920.04,963593551.04,1108123341,23529.37,0.5133,0.792,0.0057,0.3029,-0.0936,1,1
York University,2021,large_comprehensive,26077.0,22445,0.254,0.086,9160.0,36137.07,944270480,99888548,0.03,0.031,tuition_freeze,0,48522.0,0.4626,0.5374,238865320.0,811096536.15,1049961856.15,1044159028,19460.67,0.4735,0.7725,0.1233,0.0896,-0.0709,1,0
York University,2022,large_comprehensive,30765.0,16751,0.17,0.045,9091.0,50013.7,1100335579,100877383,0.019,0.043,tuition_freeze,0,47516.0,0.3525,0.6475,279684615.0,837779488.7,1117464103.7,1201212962,23157.16,0.4961,0.7497,-0.0207,0.0643,0.1653,1,0
York University,2023,large_comprehensive,31896.0,10048,0.185,0.156,8425.0,42925.98,1072842850,37156449,0.037,-0.001,tuition_freeze,0,41944.0,0.2396,0.7604,268723800.0,431320247.04,700044047.04,1109999299,25577.98,0.6051,0.6161,-0.1173,-0.3735,-0.025,0,1
York University,2024,large_comprehensive,36502.0,11421,0.202,0.138,7274.0,58910.87,1447730867,52082919,0.016,-0.005,tuition_freeze,1,47923.0,0.2383,0.7617,265515548.0,672821046.27,938336594.27,1499813786,30209.52,0.6067,0.717,0.1425,0.3404,0.3494,0,1
York University,2025,large_comprehensive,30478.0,8943,0.269,0.075,9194.0,35753.83,1029399762,84210965,0.041,0.005,tuition_freeze,1,39421.0,0.2269,0.7731,280214732.0,319746501.69,599961233.69,1113610727,26112.98,0.6318,0.5329,-0.1774,-0.3606,-0.289,0,1
York University,2026,large_comprehensive,42750.0,9668,0.303,0.102,7562.0,46324.76,1599210879,124021472,0.058,0.011,tuition_freeze,1,52418.0,0.1844,0.8156,323275500.0,447867779.68,771143279.68,1723232351,30508.81,0.6747,0.5808,0.3297,0.2853,0.5535,0,1
